ID	DNA/Other	DNA/Academ	DNA/CMC	DNA/Crypton	DNA/Dada	DNA/Ginger	DNA/hAT	DNA/IS3EU	DNA/IS5	DNA/Kolobok	DNA/Maverick	DNA/Merlin	DNA/MULE	DNA/P	DNA/PIF	DNA/PiggyBac	DNA/Sola	DNA/TcMar	DNA/Zator	DNA/Zisupton	RC/Helitron	PLE/Penelope	LTR/Other	LTR/Copia	LTR/DIRS	LTR/ERVK	LTR/ERVL	LTR/ERV1	LTR/Gypsy	LTR/Juno	LTR/Mag	LTR/Ngaro	LTR/Pao	LTR/TelKA	LTR/Unknown	LINE/Other	LINE/CRE	LINE/CR1	LINE/Dong	LINE/I	LINE/L1	LINE/L2	LINE/Proto2	LINE/Rex	LINE/RTE	LINE/R1	LINE/R2	LINE/Soliton	LINE/Tad1	SINE/Other
Bc_v0.6	0.763849557	0.002786038	0.488957786	0.017183296	0	1.460580191	3.852885089	0.004777235	0	0.025885567	4.700520628	1.395100114	10.49030819	0.014053101	1.779802735	0.524070053	0.018322294	7.733868187	0.003703791	0	1.802943236	4.332034384	0.000360546	0.511352611	0.423657982	0	0	0	23.53884621	0.016101658	0	0.065955342	0.09102968	0.050443668	5.88756929	3.552263442	0.001335659	8.258561002	0.001532321	3.818297253	1.105737336	5.855325003	5.115492729	0.000704704	2.145248921	0.023025781	0.005260694	0.002720484	0	0.117546202
Bp_HYR1	0.323299891	0.007056148	0.080427873	0.009896935	0.001069113	1.705266412	4.671954264	0.002616782	0	0.037968799	0.044750032	0.7922843	7.087651618	0.011332602	0.541358295	1.895629688	0.03075992	12.09198815	0.002871333	0	2.101042009	0.467528379	0.092249213	0.055756809	0.184162419	0	0	0	12.67416621	0.058251407	0	0	0.155113081	0.193692801	0.835140474	2.134591805	0.002525144	16.46133241	0.000397099	24.78094885	0.029578804	5.660436145	2.028026655	0	2.575504352	0.045656233	0.00636377	0.001038567	0.072384068	0.045931148
Bp_Tokyo1	0.347922699	0.005534747	0.081233053	0.015071541	0.000919619	0.82971815	2.886123521	0.007646466	0	0.040190777	0.083446952	0.323706053	6.352492867	0.018818139	0.12053827	2.554089803	0.047496643	16.11898786	0.008923715	0	2.876671877	1.45306688	0.372020135	0.081726923	0.005670987	0	0	0	9.790626489	0.088709219	0	0.000919619	0.330177449	0.226396689	1.973469319	1.906745818	0.001277249	18.92779523	0.006181886	17.36904023	0.198058785	10.28109021	0.740123372	0	3.269945439	0.12190067	0.010235024	0.007935975	0	0.117353662
Br_Italy2	0.355621867	0.007846375	0.142441889	0.035851899	0	0.619501502	0.68233286	0.003078193	0	0.095605064	0.189037286	0.006639241	1.55382372	0.039654373	0.249575089	1.042360769	0.068625605	10.06219158	0.008148159	0	2.516573959	0.172258114	2.163426717	0.119445973	0.008027445	0	0	0	4.854250563	0.204367896	0	0	0.28723769	0.298826182	0	3.139636508	0.002233199	38.38591612	0.002414269	5.518657473	0.116790277	4.192801132	1.558229761	0	20.86924559	0.230804145	0.018589874	0.002655696	0	0.175275951
Bt_SM28	0.461288972	0.005766858	0.104260813	0.031737604	0.001034057	0.712087632	1.30334965	0.0018096	0	0.034859662	0.073179438	0.415591595	6.084353222	0.015709716	0.925898859	2.192181533	0.048242749	14.71666334	0.007775315	0	1.06559602	0.77013404	0.003539658	0.038637948	0.003440229	0	0	0	7.556453064	0.026408232	0	0	0.121481844	0.027322975	2.247145654	1.082777279	0.004951543	24.07903777	0.003261258	19.13393726	0.131822417	6.012923727	1.76265005	0	8.440472604	0.178056708	0.135640474	0.004056686	0	0.034461947
Dc_DCAR505	1.767860839	0.503254012	5.3084646	0.050514777	0.000147679	2.471045651	5.042551859	0.016201214	0.005837649	0.82162307	0.180906318	0.381175909	7.287779515	0.557751768	2.74285685	2.006296669	2.041022864	8.217047274	0.114433562	0.079042813	2.834243859	10.81113094	0.059709944	0.058250531	0.157212585	0.166160172	0	0.21362582	6.527191153	2.176131433	0.039673429	0.346284662	0.707198195	0.273974257	0.264692221	2.524700771	0.000608088	16.42039953	0.005073195	5.167201307	0.636729429	4.855030407	0.003887423	0.178000523	2.412043696	0.052399852	0.137818907	1.817163783	0.278578355	1.279070646
Dc_DCAR706	1.337667578	0.572012236	2.2968464	0.040941997	0.000543432	2.749245389	5.133741637	0.013349983	0.019238877	0.710502072	0.09061651	0.46755016	6.360726716	0.565347499	2.517606443	2.059667177	2.033951542	8.032871854	0.344232003	0	3.405147878	10.06605781	0.362865926	0.084508876	0.087304648	0	0	0.195365683	7.821066485	2.064476041	0.022540485	0.544457818	0.823242094	0.326572156	3.250279876	1.152753571	0.000731412	18.18969314	0.00350326	5.499027375	1.036185596	3.878217808	0.003404143	0.05238484	2.701997524	0.047972441	0.12408033	1.733412877	0.371181468	0.804908938
Rc_Rc2018	0.807058634	0.00902145	1.6907405	0.197040544	0.002166724	2.141852383	10.93701741	0.028994703	0.005423375	0.979608635	0.439569156	0.28802981	12.33054907	1.925416379	0.580091039	1.447384594	2.500254754	12.60096933	0.877181694	0	5.828316164	8.634512311	0.001378824	0.223185677	0.013026606	0.235687017	0	0	5.993880122	2.42478711	0.02596129	0.001116191	3.69888633	0.542823391	2.2549291	0.944993581	0.007130491	0.493080666	0.00617188	4.707489668	3.464696323	2.69770238	0.00632946	0.002232382	4.047952092	0.184552336	0.538726313	3.173685626	0	0.058396488
Rd_RSOR408	1.097073306	0.009381495	1.461474713	0.107134873	0.001664123	0.743384694	8.410999356	0.083164563	0.219518669	1.386866517	0.176251462	0.33403809	9.040814566	1.270197604	1.353445373	8.0364884	1.934390828	29.3793971	0.436887845	0	5.281934388	10.32525429	0.002059353	0.075225308	0.005339062	0	0	0	4.145275748	2.130486961	0.078421812	0.001393703	0.157044706	0.437428685	1.902023629	0.613257183	0.003314379	0.197274887	0.452100706	3.150247871	0.116349956	0.231486489	0.003161834	0.001047011	3.149311802	0.080293951	0.124011857	1.835278416	0	0.018402431
Rd_RSOR410	0.594959264	0.011552675	1.912409304	0.107326503	0.001947471	1.415546923	9.152820324	0.074170814	0.266372265	1.240977038	0.159880392	0.331299548	8.099962003	1.164810066	1.967682697	8.114957528	1.98498041	27.97145258	0.447862627	0	5.691879666	10.12794674	0.001481469	0.073489199	0.00480608	0	0	0	4.387011678	1.913202203	0.062423392	0.001349319	0.160868038	0.4374993	0	0.491367732	0.004041002	0.650587375	0.263868374	4.86145728	0.127037689	0.232555827	0.0033107	0.265099454	2.868262716	0.075130639	0.137707047	2.113499568	0	0.023147081
Rd_RSOR504	2.121458022	0.007018403	6.538283638	0.107375388	0.001111419	0.973664456	8.576865506	0.06581382	0.196679932	2.162944123	0.158157614	0.407636791	6.767736698	1.184298866	1.455334075	7.059045006	1.793397432	27.00588078	0.374932269	0	4.464987089	10.85429261	0.002325746	0.074293532	0.005028826	0	0	0	4.767601681	2.032551393	0.071171955	0.000885019	0.747024245	0.440492246	0.556443395	0.104939872	0.005666863	0.301558058	0.290231193	2.710907805	0.116575464	0.454494748	0.00258645	0.000157794	2.351144343	0.089976884	0.123353745	2.4574975	0	0.016177315
Rd_10x_p	0.725859593	0.008196304	2.389180258	0.09736814	0.000380895	1.157844307	7.794967131	0.060766917	0.20869539	0.62924619	0.154177978	0.297923655	6.176592118	3.294321654	1.747611398	7.366883067	2.265946502	25.55699951	0.468959779	0	8.681973676	10.76319298	0.002525195	0.074077094	0.004528423	0	0	0	4.253825283	2.342174949	0.027107053	0.001417777	0.921068465	0.314549032	2.561309693	0.331668162	0.003286986	0.140571549	0.006115487	3.065347113	0.098884668	0.515965088	0.000853488	0.000952238	3.325244715	0.082611972	0.250558611	1.804809185	0.00280734	0.020652993
Rg_MAG1	0.530278794	0.060831318	3.902599484	0.133276777	0.00163982	1.751170196	12.36288413	0.017661919	0.024717659	0.77218991	0.247650487	0.182757229	8.778500059	1.997978207	2.181434992	1.362465068	2.2891065	13.11408734	0.314281354	0	4.954514166	12.81554225	0.00145929	0.100284795	0.008409721	0	0	0	8.54512654	3.139721948	0.091055163	0.000609291	0.386674158	1.795701098	0.165847521	1.714725564	0.00790574	0.094643211	0.00616061	3.972073709	0.276106636	0.311926933	0.002407076	0.000278318	6.740105546	0.12677015	0.184645279	4.514086997	0	0.017707051
Rg_MAG2	0.554636631	0.137050242	3.82194811	0.1148227	0.00142434	2.347971975	12.86616641	0.017555969	0.028199316	0.756977828	0.229462457	0.166353747	6.770638684	1.820175656	2.620837595	1.303382036	2.289881124	13.40887257	0.30075132	0.070374149	4.588778711	12.8724126	0.000940848	0.094339647	0.006919156	0	0.276204325	0	8.795076436	2.916969611	0.108550377	0.001182594	0.29699446	1.526199752	0.469659732	0.591930814	0.008232423	0.090419446	0.006396462	5.56842398	0.202138653	0.982605021	0.001927432	0.000241746	6.742805254	0.25600222	0.172867816	3.7769834	0	0.017314223
Rg_MAG3	0.634502766	0.111877932	3.893337695	0.11756664	0.001420548	1.682782502	12.49675001	0.018630031	0.020467621	0.715278515	0.223071655	0.166432189	6.146913338	1.416638267	2.222988247	1.404615738	2.756208544	13.39654989	0.281333673	0.109740594	5.090227607	13.92003488	0.000625562	0.101614798	0.007109256	0	0	0.231783915	9.166926775	3.672853001	0.090322093	0.000527818	0.162802624	1.237994577	0.378621664	0.014420517	0.006868154	0.205190995	0.005297732	6.241946698	0.405931374	0.696746228	0.002626059	0.000241102	6.632812444	0.106058898	0.181360976	3.578314878	0.025582897	0.018050083
Rg_Rg2018	0.2315469	0.007922801	3.222333613	0.1381368	0.000535705	1.630038673	10.80220752	0.014689605	0.029698754	0.691135119	0.226415406	0.200983499	7.459452977	2.154785583	1.883840842	1.134774356	2.186364005	12.41113752	0.317447727	0	4.607620719	13.3153706	0.0005639	0.08859815	0.007725435	0	0	0	8.776545729	2.497655819	0.051061181	0.000939834	0.791133456	1.312008249	5.235627189	1.608337906	0.0073589	1.622670375	0.002922884	5.241388372	0.240089991	0.833200425	0.001889066	0.000347739	4.781085879	0.116689788	0.187102151	3.907829729	0	0.020789128
Rg_RM9	0.471096316	0.042673167	3.447933463	0.166265603	0.001701915	1.749725162	9.69736507	0.024714311	0.040188163	0.789396172	0.858558653	0.124124936	5.055658361	1.779211099	2.170014619	1.25719307	2.284627626	11.98956256	0.366141415	0	3.849407885	11.72214265	0.000574266	0.585343881	0.930049522	0	0.969809595	0	14.90102738	3.669088432	0.132728482	0.000897943	0.22115497	1.25701557	0.446141858	0	0.006932954	1.642619374	0.003330741	3.454908182	0.20011596	3.447766404	0.009292664	0.001012796	5.236238843	0.131423332	0.140183496	4.680568841	0	0.044072288
Rg_RM15	1.205155098	0.043052276	4.072683546	0.142825376	0.003208008	1.549906286	10.60084116	0.019361748	0.031657757	0.764163679	0.777231234	0.104605416	6.712240409	1.443416673	1.754162979	1.496661479	2.254295441	12.0390032	0.338651912	0	4.649751343	10.9662373	0.000885248	0.102225805	0.00728502	0	0	0	11.70688101	3.795869028	0.128247214	0.209365141	0.184432018	1.192363675	3.775378387	0.047178017	0.006367286	0.196606204	0.003873974	5.721737574	0.176042468	0.924157987	0.002022263	0.000300497	5.638540534	0.11396955	0.10172227	4.975360064	0	0.020076443
Rp_RPSE411	0.566262706	0.011228752	1.791713595	0.081484018	0.001673677	0.854006467	10.36980825	0.030305315	0.21242828	1.336697257	0.133715066	0.213441443	8.009542536	1.63332998	2.24340497	5.16010963	2.963920274	21.91368717	0.347274058	0	5.864794969	10.40012476	0.004024662	0.236587449	0.006409233	0	0	0	4.42425135	2.260679111	0.091139849	0.002350985	0.465332684	0.617279079	1.142623452	0.535324864	0.001074736	0.13449313	0.006873832	4.328219213	0.174319934	1.329801034	0.001477762	0.000403026	5.171495114	0.07068628	0.21358698	4.252903732	0.370403272	0.019306064
Rp_RPSE503	2.06652333	0.010439525	1.347882025	0.07816675	0.00220462	1.006392858	10.16928024	0.016615703	0.193444605	1.892839253	0.142614063	0.212708014	7.546949492	1.140723386	1.97916526	4.897963374	3.656481286	22.595081	0.323722523	0	6.159454551	9.593890609	0.002755775	0.074465366	0.006921859	0	0	0	4.430238094	2.459696789	0.08049565	0.001945253	0.385338412	0.558238984	0.622724122	1.821151276	0.000929399	0.132536572	0.005933022	5.106915969	0.170890477	0.166383975	0.002091147	0.00097803	5.183321185	0.061448381	0.471145684	3.01734139	0	0.203570728
Rp_RPSE809	0.530244673	0.009468848	2.193394841	0.078831401	0.001383576	0.857471194	11.16405811	0.021175198	0.176211368	0.980468934	0.131055989	0.289594336	7.099744314	1.309846483	2.540067089	4.797863067	3.543359622	21.7778097	0.42683318	0	5.102336249	9.287864272	0.00431827	0.180275622	0.004469599	0	0	0.460076835	4.692143813	2.565241686	0.023753189	2.180645405	0.268748819	0.645540867	0.415186281	1.570699191	0.001388981	0.154695681	0.005215433	4.435987697	0.170185246	1.170099908	0.002632037	0.00065936	5.117966334	0.060747631	0.203477542	3.234654643	0	0.112107484
Rp_RPSE812	0.886281908	0.012157469	1.26086355	0.082029715	0.001804907	0.689492687	9.669745432	0.023620743	0.142068537	1.614661594	0.15163032	0.165574587	8.793779867	1.448465249	3.442416939	4.750473683	2.978598025	23.03158262	0.408886953	0	5.070527808	9.751382776	0.003265735	0.081407958	0.006181355	0	0	0.205101453	5.04439589	2.204993038	0.006760857	0.001871309	0.501226975	0.590138276	0.469245708	2.313498751	0.001279734	1.168638221	0.005239664	3.305346606	0.179452453	1.075314253	0.0019196	0.000724378	4.77201184	0.068598549	0.163286761	3.435668155	0	0.018387116
Rs_AK11	1.005138414	0.012179779	2.975909199	0.216094056	0.003141957	1.483066415	8.71616497	0.036989975	0.062263328	1.448166906	0.368397618	0.273550566	8.191420554	1.97308657	1.810480893	1.344845331	2.506618452	11.60806749	0.371001312	0	6.587507703	14.68615915	0.453793763	0.139485377	0.005445225	0	0	0	8.421096378	4.642173003	0.0152967	0.375657918	0.250893424	1.183128416	0.849029454	1.859738271	0.004105825	0.936077944	0.016035248	4.183897882	0.308287344	0.573050444	0.007122604	0.000763583	5.239445308	0.278920684	0.226270994	3.958490614	0.362013561	0.029529391
Rs_AK15	0.383463676	0.012163021	3.395005245	0.233581284	0.00402229	1.686269055	10.22991795	0.027563104	0.057738293	1.005444354	0.416667601	0.162622315	6.783728666	2.237579216	2.287401129	1.316522831	2.966623324	11.67050681	0.452419512	0	5.172216519	16.22534184	0.003573589	0.136389291	0.005945297	0	0	0	8.939548023	3.170109544	0.000657027	0.091999873	0.278002752	1.082508871	0.932161752	0.824120793	0.00541647	0.160827508	0.009470811	4.168166345	1.578788973	2.62192427	0.004903669	0.003701789	4.339442193	0.23521584	0.170314344	4.474228978	0	0.03578396
Rs_AK16	1.007937699	0.315232992	2.87639199	0.236368193	0.004055535	1.989748707	10.19123542	0.026142849	0.073500506	1.041561475	0.41103086	0.157002511	6.281489974	2.921972321	2.01385571	1.160286847	2.203916483	11.47616129	0.460779829	0	5.911870808	13.64449894	0.003603124	0.130665772	0.008676582	0	0	0	10.40918406	3.958040243	0.152979291	0.893962634	0.261105338	1.30255371	0.896305473	2.3681414	0.004330212	0.157438763	0.007642502	4.295053556	0.275097741	0.49495296	0.006107538	0.002375154	4.930124431	0.229291204	0.326834083	4.444365093	0	0.036128189
Rs_AK27	0.612546195	0.014315083	2.708641699	0.213725453	0.003825801	2.137267203	9.87734381	0.037219215	0.054473324	1.165843148	0.380135124	0.253427639	7.300907602	2.277428332	2.421187235	1.836207076	2.138293328	11.18058642	0.441829331	0	4.973591839	14.86360386	0.22850926	0.13050795	0.006017402	0	0	0	6.892801059	4.890260322	0.000899443	0.001786218	1.214565103	0.913365625	2.876900929	1.418954082	0.00461123	0.456904506	0.01617731	3.574476182	0.2697443	2.066084503	0.003686451	0.001862228	5.263009877	0.170691527	0.200373155	4.477061157	0	0.028351465
Rs_RS1	0.579491444	0.108462047	3.175763767	0.223165059	0.00550948	2.108107511	8.880721163	0.036325214	0.041025392	0.989667546	1.213283947	0.331487035	7.179474729	2.238342898	0.878435196	1.098129594	2.292394941	12.01966168	0.453629401	0	3.888852315	12.56645421	0.003984257	0.202776871	0.011657063	0	0	0	12.88608186	3.216431199	0.000638104	1.456946139	1.566341996	0.855276704	0.855992625	0.026240065	0.005540607	0.745491759	0.011267976	4.463877033	0.258696535	2.848805711	0.004528979	0.000949374	5.307014206	0.224472393	0.222869353	4.483564864	0	0.032169759
Rw_RSIL801	1.235209304	0.008101822	1.828883227	0.110285207	0.505790517	1.441075023	12.04027407	0.025751952	0.079084574	1.244105569	0.176006646	0.145712877	7.116952084	1.552799221	1.438954009	4.918825141	2.601539211	22.80360809	0.415771107	0	4.662887016	11.13209057	0.004639249	0.085814857	0.005321271	0.667107458	0	0.923637669	3.45932803	2.147739757	0.113313085	0.23430079	1.716814271	0.579269019	1.560661211	1.430807219	0.003492552	0.17722829	0.012681112	2.753030539	0.154504216	0.484602866	0.003642447	0.000562106	4.745156857	0.079856533	0.31350528	2.838260805	0	0.021015271
Rw_RSIL802	1.328861382	0.010876595	1.568545444	0.131204343	0.458898616	1.502834853	11.90474497	0.615741884	0.102069988	1.602528296	0.200072094	0.128255346	5.362872337	1.514691556	1.545482553	6.118448717	2.160686679	23.18313167	0.479472206	0	4.879549088	12.35958438	0.008005659	0.088547969	0.011119453	0	0	0	3.169000769	2.474034949	0.110942999	0.001422457	0.365077146	0.638917531	1.590480777	0.744725806	0.005212786	0.756348323	0.357947512	3.385214285	0.10835829	0.267213815	0.002940323	0.000641841	5.090367674	0.100560795	0.109720033	3.436058461	0	0.018587354
Rw_RSIL804	1.389301958	0.010713766	1.354116311	0.134411345	0.000986904	1.600198384	9.600019404	0.044987781	0.160397037	1.041041836	0.188950352	0.145392746	7.728422342	1.765621942	1.745842038	5.482771829	4.181513443	23.27674803	0.618479532	0	6.019145943	11.41459347	0.004733795	0.092258823	0.007401782	0	0	0	4.046775918	2.07721606	0.052531744	0.412634717	0.597578906	0.45111562	0.873008837	0.17868822	0.006264333	0.681373771	0.118487059	3.123543689	0.116939794	1.417671274	0.004424342	0.001246176	4.42867442	0.097644979	0.30920213	2.981228746	0	0.015698469
Rw_RSIL806	0.5501683	0.005731204	1.404752233	0.111158068	0.523293046	1.722247292	11.71704418	0.036202106	0.138094727	0.716154886	0.158767999	0.25486801	7.353626071	1.434336162	1.253850994	5.069195419	2.402247833	22.64606826	0.540902853	0	5.883285667	11.33299892	0.004728243	0.082897773	0.006345262	0	0	0	7.186322673	2.01072472	0.088772257	0.001514675	0.512540216	0.564011887	1.390935937	0	0.004816941	0.503752369	0.010009139	3.799344814	0.096529851	1.476010203	0.002183316	0.000259269	4.006527841	0.077848855	0.272225371	2.425943633	0.150764781	0.069995741
Rw_10x_p	0.332689723	0.006493196	2.225204192	0.10207498	0.001251261	1.074390034	11.47512286	0.032356645	0.102396906	0.586489245	0.129347617	0.88210276	5.123999993	1.849370251	0.913250663	4.650421894	1.541171234	22.69437494	0.323457116	0	11.72576386	9.543946847	0.002296004	0.252232408	0.00504149	0	0	0	6.853473902	1.358256271	0.081137613	0.27873971	0.550014371	0.493853392	3.288490802	0.300223745	0.002848745	0.117709672	0.560704759	3.415755007	0.070732707	0.186231412	0.002338522	0.000437334	3.995204389	0.073903379	0.04296807	2.585063293	0	0.166666788
